,C3L-02610,C3N-01998,C3L-01637,C3L-02606,C3N-00436,C3L-00819,C3N-00518,C3L-00102,C3N-00517,C3L-00640,C3N-01011,C3L-03123,C3N-02768,C3L-02809,C3N-02589,C3N-03780,C3N-03440,C3N-02010,C3L-04072,C3N-03069,C3L-02899
PPP1R37,9.918595029,9.670347023,9.73176518,9.877080303,9.853308524,9.773139207,10.22666322,9.762803267,10.12242751,9.640003707,9.691515488,9.371850929,9.004024044,8.964835723,9.16554486,9.424045648,9.517164096,9.263453931,9.086855115,9.429462282,8.830867033
PPP1R3A,0,0,1.021861907,0,0,0,0,0,0,0,0,0,0,0,0,0,1.116058605,0,0,0,0
PPP1R3B,10.99241783,10.86845349,11.10838171,11.14504449,11.09168984,10.95534477,10.80944929,11.15142772,11.21332625,10.85661996,11.09210838,11.41168221,11.03094211,11.49403577,11.18854031,11.30699088,11.13740005,11.26241126,11.33881361,11.02447445,11.34529896
PPP1R3C,9.659035884,9.284632599,8.471254467,8.563354915,9.300857304,9.321928095,9.66544256,9.269072823,9.886199496,9.257195644,9.13429625,9.64650594,8.976377767,10.76876962,9.175464543,10.0267497,9.189202094,9.849583057,8.883515166,9.890342093,7.960096761
PPP1R3D,7.895811589,8.510762532,8.526718128,8.411725031,8.507451392,8.471675214,8.46206406,8.374279481,8.818900558,8.345740841,8.318847648,8.900305997,8.565271239,8.551789223,8.775129485,8.786229184,9.17846784,8.783507408,9.017779228,8.881154616,8.620661963
PPP1R3E,8.607942488,8.916668155,8.93601258,8.321920126,8.539366091,8.535275377,9.184011522,8.214889561,8.657584148,8.936147359,8.482767815,9.011275929,8.449610273,8.428638339,8.531977978,8.523216242,8.749010848,8.46084007,8.070521422,8.994299027,8.547565532
PPP1R3F,7.082771598,8.028765314,7.545126148,7.439486325,7.494347258,7.761551232,8.308247499,7.423529867,7.396926343,8.224427328,7.427511498,6.79740446,6.941000901,7.442568047,6.96825201,6.503461978,7.114917618,6.987107322,6.332979324,6.516890587,7.178958563
PPP1R3G,4.372334307,5.456266302,4.745379741,5.052582851,5.064641729,4.754887502,5.101712407,4.537406342,4.791315466,5.407259652,4.746567833,3.849564012,4.568649781,5.808760143,3.802428579,3.683096,3.133172619,3.907890474,3.676025612,2.572270869,5.01068037
PPP1R42,2.710437291,2.998260634,1.619612803,1.019859233,1.620296556,3,2.571067967,2.815946847,2.290064536,2.560259824,2.373283917,2.225547105,2.313666967,2.038004235,2.581617814,1.687435883,1.116058605,3.550780041,1.574505516,2.572270869,1.603033064
PPP1R7,10.0001576,10.04809673,9.82866175,9.9822828,10.34187072,10.01262454,10.17264108,10.00061945,10.08963501,10.08508834,10.00605609,9.883859992,10.05938688,10.22688216,10.24646817,10.51178051,9.910135299,10.11651479,10.3205502,10.11927061,9.807525134
PPP1R8,10.16401148,10.60763571,10.24005767,10.17979356,10.45930893,10.57553925,10.47477382,10.40461127,10.21866634,10.57131173,10.29284935,10.25884691,10.57327211,10.68610709,10.4581259,10.41026409,9.983639573,10.428149,10.48590625,9.932446134,10.51188816
PPP1R9A,12.69284612,10.84857485,12.19909916,12.34063717,11.64134343,11.8963324,11.48386879,12.07232112,12.15422453,11.55033465,12.32018474,13.29582705,11.81307831,10.39972493,12.48516411,12.15773996,12.61057834,12.53622238,12.28174498,12.99238689,10.62257728
PPP1R9B,10.51321365,11.20112641,10.54297093,10.75733089,11.10480147,10.65194861,10.97411682,10.70597479,10.44525361,11.00818058,10.28597472,9.75700362,10.43340559,10.7541706,10.02318779,10.60549234,10.13025816,10.19599588,10.47058825,9.836951182,10.49881136
PPP2CA,11.69964937,11.59782504,11.46883729,11.63434899,11.34813281,11.70043972,11.56775282,11.82316077,11.38653418,11.82110903,11.39180417,11.82502353,11.7694593,11.81672709,11.85796583,11.82045596,11.67790642,11.757232,11.812949,11.66919337,11.81903724
PPP2CB,10.65303428,10.34934718,10.51144153,10.76223702,10.27389291,10.60455323,10.74605731,10.7409943,10.5923998,10.74339961,10.61667598,11.00900429,10.89037348,11.22046389,10.9751753,10.95653096,10.58224385,10.82241922,10.73445165,10.88777436,11.10171074
PPP2R1A,12.39477015,12.19688399,12.2478753,12.32243055,12.24209674,12.29174628,12.36856776,12.26534033,12.05357369,12.04054193,12.21859622,11.82806693,11.90294345,11.91613178,11.63103972,11.8218523,11.83426843,11.94110379,11.78667938,11.94286268,11.59835065
